"site";"year";"month";"day";"drone_model";"N_pictures";"acquiStart_yy_mm_dd";"acquiStart_hh_mm_ss";"acquiEnd_yy_mm_dd";"acquiEnd_hh_mm_ss";"totalSize_Go"
"Mbalmayo";2024;10;14;"DJI Mavic 2 Pro";473;"2024:10:14";"14:13:22";"2024:10:14";"15:17:36";5.51
"Mbalmayo";2024;10;28;"DJI Mavic 2 Pro";473;"2024:10:28";"14:26:24";"2024:10:28";"15:30:26";5.25
"Mbalmayo";2024;11;12;"DJI Mavic 2 Pro";473;"2024:11:12";"15:21:30";"2024:11:12";"16:26:42";5.18
"Mbalmayo";2024;11;27;"DJI Mavic 2 Pro";476;"2024:11:27";"15:13:52";"2024:11:27";"16:38:05";5.29
"Mbalmayo";2024;12;12;"DJI Mavic 2 Pro";473;"2024:12:12";"14:45:11";"2024:12:12";"16:00:05";5.08
"Mbalmayo";2024;12;27;"DJI Mavic 2 Pro";473;"2024:12:27";"14:03:37";"2024:12:27";"15:18:40";4.95
"Mbalmayo";2025;1;12;"DJI Mavic 2 Pro";472;"2025:01:12";"15:49:42";"2025:01:12";"16:52:08";4.66
"Mbalmayo";2025;1;27;"DJI Mavic 2 Pro";474;"2025:01:27";"14:35:42";"2025:01:27";"15:37:37";5.11
"Mbalmayo";2025;2;13;"DJI Mavic 2 Pro";473;"2025:02:13";"14:02:46";"2025:02:13";"15:05:34";4.79
"Mbalmayo";2025;2;27;"DJI Mavic 2 Pro";472;"2025:02:27";"14:02:04";"2025:02:27";"15:11:33";5.03
"Mbalmayo";2025;3;14;"DJI Mavic 2 Pro";472;"2025:03:14";"14:41:17";"2025:03:14";"15:42:20";4.91
"Mbalmayo";2025;3;29;"DJI Mavic 2 Pro";472;"2025:03:29";"13:58:23";"2025:03:29";"15:02:10";4.94
"Mbalmayo";2025;4;13;"DJI Mavic 2 Pro";473;"2025:04:13";"14:10:32";"2025:04:13";"15:18:44";5.59
"Mbalmayo";2025;4;27;"DJI Mavic 2 Pro";475;"2025:04:27";"17:11:46";"2025:04:27";"18:17:49";4.62
"Mbalmayo";2025;5;12;"DJI Mavic 2 Pro";474;"2025:05:12";"14:07:53";"2025:05:12";"15:10:31";5.57
"Mbalmayo";2025;5;27;"DJI Mavic 2 Pro";460;"2025:05:27";"14:01:19";"2025:05:27";"15:40:44";5.23
"Mbalmayo";2025;6;12;"DJI Mavic 2 Pro";476;"2025:06:12";"14:47:38";"2025:06:12";"16:06:26";5.19
"Mbalmayo";2025;6;27;"DJI Mavic 2 Pro";526;"2025:06:27";"14:01:40";"2025:06:27";"15:48:38";6.46
"Mbalmayo";2025;7;12;"DJI Mavic 2 Pro";478;"2025:07:12";"14:21:05";"2025:07:12";"15:47:51";5.29
"Mbalmayo";2025;7;27;"DJI Mavic 2 Pro";478;"2025:07:27";"13:50:38";"2025:07:27";"14:55:57";5.08
"Mbalmayo";2025;8;13;"DJI Mavic 2 Pro";636;"2025:08:13";"14:28:49";"2025:08:13";"18:11:43";7.91
"Mbalmayo";2025;8;27;"DJI Mavic 2 Pro";562;"2025:08:27";"13:12:45";"2025:08:27";"14:55:29";6.8
"Mbalmayo";2025;9;12;"DJI Mavic 2 Pro";1088;"2025:09:12";"15:02:20";"2025:09:12";"17:09:35";12.35
"Mbalmayo";2025;9;27;"DJI Mavic 2 Pro";498;"2025:09:27";"13:43:06";"2025:09:27";"15:20:34";6.28
"Mbalmayo";2025;10;10;"DJI Mavic 2 Pro";532;"2025:10:10";"15:54:39";"2025:10:10";"17:02:27";6.01
"Mbalmayo";2025;10;25;"DJI Mavic 2 Pro";524;"2025:10:25";"11:13:09";"2025:10:25";"12:06:24";6.54
"Mbalmayo";2025;11;12;"DJI Mavic 2 Pro";533;"2025:11:12";"14:03:16";"2025:11:12";"14:54:17";6.24
"Mbalmayo";2025;11;24;"DJI Mavic 2 Pro";535;"2025:11:24";"13:59:45";"2025:11:24";"14:49:52";6.65
"Mbalmayo";2025;12;14;"DJI Mavic 2 Pro";532;"2025:12:14";"14:04:12";"2025:12:14";"14:48:29";6.12
"Mbalmayo";2025;12;27;"DJI Mavic 2 Pro";566;"2025:12:27";"10:57:29";"2025:12:27";"11:53:49";7.02
"Yangambi";2023;10;27;"DJI Mavic 2 Pro";336;"2023:10:27";"12:03:27";"2023:10:27";"12:57:24";3.73
"Yangambi";2023;11;24;"DJI Mavic 2 Pro";361;"2023:11:24";"12:51:10";"2023:11:24";"13:51:25";3.53
"Yangambi";2023;12;8;"DJI Mavic 2 Pro";361;"2023:12:08";"11:06:43";"2023:12:08";"12:27:24";4.16
"Yangambi";2023;12;22;"DJI Mavic 2 Pro";360;"2023:12:22";"12:31:41";"2023:12:22";"13:26:37";3.91
"Yangambi";2024;1;5;"DJI Mavic 2 Pro";360;"2024:01:05";"14:59:58";"2024:01:05";"17:05:49";3.57
"Yangambi";2024;1;19;"DJI Mavic 2 Pro";360;"2024:01:19";"14:45:34";"2024:01:19";"16:31:45";3.56
"Yangambi";2024;2;2;"DJI Mavic 2 Pro";360;"2024:02:02";"12:10:32";"2024:02:02";"13:59:18";4.1
"Yangambi";2024;2;16;"DJI Mavic 2 Pro";363;"2024:02:16";"09:31:46";"2024:02:16";"11:29:45";3.91
"Yangambi";2024;3;1;"DJI Mavic 2 Pro";360;"2024:03:01";"14:12:29";"2024:03:01";"15:30:42";3.98
"Yangambi";2024;3;15;"DJI Mavic 2 Pro";360;"2024:03:15";"13:44:44";"2024:03:15";"15:31:04";3.4
"Yangambi";2024;3;29;"DJI Mavic 2 Pro";360;"2024:03:29";"10:20:38";"2024:03:29";"11:58:34";4.17
"Yangambi";2024;4;12;"DJI Mavic 2 Pro";360;"2024:04:12";"12:54:05";"2024:04:12";"14:52:26";4.1
"Yangambi";2024;4;26;"DJI Mavic 2 Pro";364;"2024:04:26";"12:51:10";"2024:04:26";"13:46:39";4.09
"Yangambi";2024;5;10;"DJI Mavic 2 Pro";593;"2024:05:10";"11:00:26";"2024:05:10";"13:36:53";4.09
"Yangambi";2024;5;24;"DJI Mavic 2 Pro";487;"2024:05:10";"10:41:10";"2024:05:24";"14:48:33";5.56
"Yangambi";2024;6;7;"DJI Mavic 2 Pro";361;"2024:06:07";"11:56:27";"2024:06:07";"13:08:24";4.24
"Yangambi";2024;6;21;"DJI Mavic 2 Pro";358;"2024:06:21";"13:51:12";"2024:06:21";"14:44:32";3.76
"Yangambi";2024;7;5;"DJI Mavic 2 Pro";360;"2024:07:05";"11:26:16";"2024:07:05";"13:52:55";2.73
"Yangambi";2024;7;19;"DJI Mavic 2 Pro";360;"2024:07:19";"13:44:56";"2024:07:19";"14:37:39";3.46
"Yangambi";2024;8;3;"DJI Mavic 2 Pro";362;"2024:08:03";"13:45:47";"2024:08:03";"14:38:31";2.8
"Yangambi";2024;8;16;"DJI Mavic 2 Pro";363;"2024:08:16";"10:38:03";"2024:08:16";"11:54:28";4.03
"Yangambi";2024;9;13;"DJI Mavic 2 Pro";360;"2024:09:13";"14:04:28";"2024:09:13";"15:54:32";3.99
"Yangambi";2024;9;26;"DJI Mavic 2 Pro";360;"2024:09:26";"11:51:52";"2024:09:26";"13:40:07";4.16
"Yangambi";2024;10;11;"DJI Mavic 2 Pro";360;"2024:10:11";"10:22:34";"2024:10:11";"11:20:27";4.13
"Yangambi";2024;10;25;"DJI Mavic 2 Pro";360;"2024:10:25";"09:49:00";"2024:10:25";"10:50:50";4.15
"Yangambi";2024;11;8;"DJI Mavic 2 Pro";364;"2024:11:08";"12:04:09";"2024:11:08";"13:08:04";4.09
